Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BARBARA ANTOLIÆ VUPORA;RADIMIR ÈAÈIÆ;MARIO LEŠINA;KRUNOSLAV LUKAÈIÆ;DENIS MLADENOVIÆ;DARKO NOVOSELEC;ANÐELKO STRIÈAK
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;012;KAMENIÈKO PODGORJE - 1;PROSTORIJE NOVOG DRUŠTVENOG DOMA;KAMENIÈKO PODGORJE BB;201;109;109;106;3;3;32;1;34;0;0;36
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;013;KAMENIÈKO PODGORJE - 2;KUÆA KRISTIJANA GALIÆ;ŽAROVNICA 215;132;45;45;42;3;7;16;1;9;1;1;7
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;014;DONJA VIŠNJICA;"OSNOVNA ŠKOLA ""IZIDOR POLJAK""";VIŠNJICA;426;220;220;205;15;11;57;6;18;5;4;104
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;015;BEDNJICA;DRUŠTVENI DOM BEDNJICA;BEDNJICA;221;144;144;137;7;13;21;2;3;2;1;95
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;016;GORNJA VIŠNJICA;VATROGASNI DOM DONJA VIŠNJICA;GORNJA VIŠNJICA;373;175;175;163;12;16;49;2;8;3;6;79
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;017;ZLOGONJE;KUÆA ÈELIG JOSIPA;ZLOGONJE 140;357;158;158;154;4;11;45;4;13;1;5;75
05;VARAŽDINSKA ŽUPANIJA;grad;LEPOGLAVA;018;ŽAROVNICA;PODRUÈNA ŠKOLA ŽAROVNICA;ŽAROVNICA;602;331;331;316;15;41;98;10;76;2;11;78
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;001;LUDBREG - 1;MEÐUGENERACIJSKI CENTAR-PROSTORIJA UDRUGE UMIROVLJENIKA;TRG SVETOGA TROJSTVA 16;1612;712;712;654;58;162;211;67;29;25;34;126
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;002;LUDBREG - 2;OSNOVNA ŠKOLA LUDBREG;ULICA ANDRIJE KAÈIÆA MIOŠIÆA 17;1469;724;724;678;46;165;236;92;41;32;26;86
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;003;VINOGRADI LUDBREŠKI;DRUŠTVENI DOM, VINOGRADI LUDBREŠKI;GORNJOGRADSKA ULICA 2;586;228;228;216;12;46;70;30;10;8;11;41
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;004;SIGETEC LUDBREŠKI;DRUŠTVENI DOM;SIGETEC LUDBREŠKI, ULICA BRAÆE RADIÆ 13;536;271;271;261;10;29;92;11;26;12;14;77
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;005;SLOKOVEC;VATROGASNI DOM;SLOKOVEC 45;210;127;127;113;14;13;26;8;21;5;4;36
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;006;APATIJA;DRUŠTVENI DOM;APATIJA 21A;201;105;105;101;4;13;21;2;9;3;5;48
05;VARAŽDINSKA ŽUPANIJA;grad;LUDBREG;007;SELNIK;DRUŠTVENI DOM;SELNIK, GLAVNA ULICA 1;705;345;345;320;25;32;163;27;9;12;14;63
