Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;CENTAR;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, STRANKA UMIROVLJENIKA - SU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI, NARODNA STRANKA - REFORMISTI - REFORMISTI;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA STRANKA PRAVA - HSP, HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU;KANDIDACIJSKA LISTA GRUPE BIRAÈA - TOMISLAV MAMIÆ;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, PAMETNO ZA SPLIT I DALMACIJU;RADNIÈKA FRONTA - RF, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;ŽELJKO KERUM - HRVATSKA GRAÐANSKA STRANKA - HGS
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;135;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1146;488;488;478;10;45;23;238;5;1;2;7;9;18;42;19;2;12;55
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;136;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;869;364;364;351;13;35;16;158;7;2;1;4;16;18;23;10;0;18;43
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;137;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1106;498;496;487;9;52;23;219;7;8;2;8;30;14;45;12;0;18;49
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;138;SPLIT;OŠ MEJAŠI;MEJAŠI 20;1294;705;705;691;14;143;31;224;2;2;11;22;17;35;69;60;0;17;58
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;139;SPLIT;O.Š.MEJAŠI;MEJAŠI 20;1647;742;741;727;14;85;30;303;8;7;4;13;38;28;60;38;1;30;82
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;140;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;1011;451;451;436;15;62;24;109;3;5;0;9;15;15;45;26;2;40;81
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;141;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;931;361;361;351;10;42;9;117;1;0;5;7;9;11;34;6;1;39;70
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;142;SPLIT;O.Š.RAVNE NJIVE;SARAJEVSKA 30;1071;459;458;447;11;31;27;156;0;2;0;7;21;22;84;3;2;16;76
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;143;SPLIT;GRADSKI KOTAR SIROBUJA;MANDIÈEVA 30;1112;451;451;443;8;45;24;178;6;1;1;7;14;17;56;14;1;7;72
17;SPLITSKO-DALMATINSKA ŽUPANIJA;grad;SPLIT;144;SPLIT;GRADSKI KOTAR SIROBUJA;MANDIÆEVA 34;1353;623;623;608;15;58;38;265;6;1;2;6;15;40;70;14;0;8;85
