Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AGRAMERI - NEZAVISNA LISTA;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, HRVATSKA RADIÆEVSKA STRANKA - HRS, PROMIJENIMO HRVATSKU - PH, HRVATSKA STRANKA SVIH ÈAKAVACA KAJKAVACA I ŠTOKAVACA - HSSÈKŠ;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";BLOK UMIROVLJENICI ZAJEDNO - BUZ;CENTAR;DOMOVINSKI POKRET - DP, ZELENA LISTA;FOKUS;GRAÐANSKO-LIBERALNI SAVEZ - GLAS, DEMOKRATI;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP, GENERACIJA OBNOVE - GO;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, ZAGREB JE NAŠ!, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH, ZA GRAD;NARODNA STRANKA - REFORMISTI - REFORMISTI;NEZAVISNA LISTA TOMISLAV STOJAK - NLTS;POKRET ZA MODERNU HRVATSKU;RADNIÈKA FRONTA - RF;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ŽELJKO TOKIÆ;VESNA ŠKARE OŽBOLT - NEZAVISNA LISTA - VESNA ŠKARE OŽBOLT-NL;ZAGORSKA STRANKA ZA ZAGREB - ZSZ
21;GRAD ZAGREB;grad;GRAD ZAGREB;205;ZAPRUÐE;OŠ ZAPRUÐE;MEŠTROVIÆEV TRG 8A;1293;620;620;606;14;2;0;1;32;4;5;45;12;4;63;0;6;19;308;0;1;0;1;68;0;34;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;206;ZAPRUÐE;OŠ ZAPRUÐE;MEŠTROVIÆEV TRG 8A;1269;570;570;550;20;4;0;3;27;4;4;47;13;11;51;3;1;21;277;1;1;1;5;47;4;22;3
21;GRAD ZAGREB;grad;GRAD ZAGREB;207;BLATO;PROSTORIJE MJESNOG ODBORA;KARLOVAÈKA CESTA 195B;1237;580;580;574;6;4;1;2;55;1;7;81;12;1;96;1;3;23;185;0;1;1;2;57;0;40;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;208;BLATO;PROSTORIJE MJESNOG ODBORA;KARLOVAÈKA CESTA 195B;1299;554;552;545;7;4;2;1;37;4;4;65;6;2;94;1;12;39;200;2;0;0;0;51;2;18;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;209;BOTINEC;OŠ BRAÆE RADIÆA;ULICA ŠENOINE BRANKE 22;1272;551;551;529;22;1;3;1;62;6;10;67;12;3;56;2;3;38;166;1;3;1;4;56;1;32;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;210;BOTINEC;OŠ BRAÆE RADIÆA;ULICA ŠENOINE BRANKE 22;1272;598;598;579;19;3;2;3;46;4;9;94;8;6;66;1;3;39;201;1;2;1;2;61;2;22;3
21;GRAD ZAGREB;grad;GRAD ZAGREB;211;BOTINEC;OŠ BRAÆE RADIÆA;ULICA ŠENOINE BRANKE 22;1268;577;577;555;22;2;2;3;63;5;9;71;16;7;74;3;4;37;181;1;0;2;2;41;3;28;1
21;GRAD ZAGREB;grad;GRAD ZAGREB;212;ÈEHI;PROSTORIJE MJESNOG ODBORA;ULICA SLAVKA ÈORA 37;735;409;408;397;11;3;1;2;83;1;5;46;12;5;75;0;4;17;75;0;0;1;2;38;0;25;2
21;GRAD ZAGREB;grad;GRAD ZAGREB;213;HRAŠÆE;PROSTORIJE MJESNOG ODBORA;TRG JURJA MULIHA 11;1040;540;540;522;18;3;3;0;62;4;2;71;6;1;103;2;2;29;144;0;1;1;2;62;0;24;0
21;GRAD ZAGREB;grad;GRAD ZAGREB;214;HRVATSKI LESKOVAC;PROSTORIJE MJESNOG ODBORA;TRG HRVATSKIH BRANITELJA DOMOVINSKOG RATA 2;1019;422;422;412;10;1;0;0;77;2;1;64;8;2;61;0;9;11;111;0;2;0;0;18;2;42;1
