Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;STIPO LUKAČ;DARKO MILINOVIĆ;ERNEST PETRY;DANIJEL TUŠAK;TOMISLAV ZRINSKI
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;004;OTOČAC - PODRUČNA ŠKOLA LIPOVLJE;PODRUČNA ŠKOLA LIPOVLJE;LIPOVLJE;191;94;94;90;4;9;31;32;14;4
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;005;OTOČAC - PODRUČNA ŠKOLA KUTEREVO;PODRUČNA ŠKOLA KUTEREVO;KUTEREVO;404;233;233;227;6;12;122;50;38;5
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;006;OTOČAC - AUTO-KLUB OTOČAC;AUTO KLUB OTOČAC;OTOČAC, IVE SENJANINA 12;1304;779;776;756;20;41;240;212;228;35
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;007;OTOČAC-OSNOVNA ŠKOLA OTOČAC;OŠ OTOČAC;OTOČAC;568;374;374;361;13;9;125;63;139;25
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;008;OTOČAC-ZGRADA GACKOG PUČKOG  O. UČ. (KAT);ZGRADA GACKOG  PUČKOG O. UČ.(KAT);OTOČAC;834;507;507;498;9;15;195;127;139;22
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;009;OTOČAC - ZGRADA GACKOG PUČKOG O. UČ (PRIZ);ZGRADA GACKOG PUČKOG O. UČ. (PRIZ);OTOČAC;1085;583;582;558;24;10;246;132;145;25
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;010;OTOČAC - LOVAČKI DOM DABAR;LOVAČKI DOM DABAR;DABAR;90;37;37;35;2;1;24;7;3;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;011;OTOČAC - DOM PROZOR DONJI;DOM PROZOR DONJI;PROZOR DONJI;404;271;271;266;5;5;135;45;72;9
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;012;OTOČAC - PODRUČNA ŠKOLA PROZOR GORNJI;PODRUČNA ŠKOLA PROZOR GORNJI;PROZOR GORNJI;340;219;219;212;7;8;111;35;55;3
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;013;OTOČAC - PODRUČNA ŠKOLA ČOVIĆI;PODRUČNA ŠKOLA ČOVIĆI;ČOVIĆI;497;305;305;293;12;13;102;119;51;8
