Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKI SUVERENISTI, HRVATSKA KONZERVATIVNA STRANKA - HKS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, NEOVISNI ZA HRVATSKU - NHR;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARKO JELIÆ;MOST, DOMOVINSKI POKRET - DP, LOZA NEZAVISNA LISTA - LOZA;NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;NEZAVISNA LISTA STIPE PETRINA - NLSP;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;010;BIRAÈKO MJESTO 10;ZGRADA OŠ DR. FRANJE TUÐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIÆA 2, KNIN;744;302;302;288;14;96;3;11;118;34;0;6;13;7
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;011;BIRAÈKO MJESTO 11;ZGRADA OŠ DR.FRANJE TUÐMANA (BIVŠA II OŠ KNIN);KNEZA IVANIŠA NELIPIÆA 2, KNIN;641;284;284;272;12;76;1;9;125;19;1;11;15;15
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;012;BIRAÈKO MJESTO 12;KUÆA VLATKE ÈOVIÆ;SURONJINA 15, KNIN;1491;638;638;621;17;251;5;21;226;53;3;14;34;14
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;013;BIRAÈKO MJESTO 13;DOM KULTURE U VRPOLJU;FRA ANDRIJE MARIÆA 2, VRPOLJE;603;266;266;256;10;107;4;11;107;7;0;8;9;3
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;014;BIRAÈKO MJESTO 14;OSNOVNA ŠKOLA DOMOVINSKE ZAHVALNOSTI, PODRUÈNA ŠKOLA GOLUBIÆ;GOLUBIÆ;724;296;295;279;16;76;4;21;102;14;0;3;53;6
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;015;BIRAÈKO MJESTO 15;ZGRADA NOVE AMBULANTE;PLAVNO;182;56;56;51;5;6;0;0;15;2;1;0;23;4
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;016;BIRAÈKO MJESTO 16;KUÆA ÐURE RADOŠA;CENTAR 34, STRMICA;195;82;82;78;4;2;0;0;13;1;0;0;60;2
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;017;BIRAÈKO MJESTO 17;ZGRADA TELEKOMUNIKACIJA-POŠTA;ZADARSKA 1, ŽAGROVIÆ;531;269;269;260;9;54;7;9;56;14;1;3;105;11
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;018;BIRAÈKO MJESTO 18;KUÆA ILIJE ORLOVIÆA;LJUBAÈ;51;35;35;34;1;0;0;0;21;1;1;1;9;1
15;ŠIBENSKO-KNINSKA ŽUPANIJA;grad;KNIN;019;BIRAÈKO MJESTO 19;KUÆA VLASNIŠTVA VELJKA TANJGE;OÈESTOVO;90;51;51;48;3;1;0;0;4;0;2;0;40;1
