Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN CELJAK;DANIEL BERDAIS
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;020;JANJA LIPA;DOM JANJA LIPA;HRVATSKIH BRANITELJA 44;155;78;78;78;0;76;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;021;JAMARICE;DOM JAMARICE;JAMARICA;331;90;90;86;4;70;16
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;022;BANOVA JARUGA;VATROGASNI DOM BANOVA JARUGA;BANOVA JARUGA;575;112;112;109;3;91;18
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;023;ILOVA;ŠKOLA ILOVA;ILOVA;693;125;125;117;8;100;17
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;024;ZBJEGOVAČA;DOM ZBJEGOVAČA;ZBJEGOVAČA;284;65;65;65;0;50;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;025;HUSAIN;DOM HUSAIN;HUSAIN;806;161;161;154;7;111;43
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;026;BATINA;DOM BATINA;BATINA;176;45;45;45;0;39;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;027;GOJLO;DOM GOJLO;GOJLO;288;61;61;56;5;42;14
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;028;MIŠINKA;KUĆA OBITELJI MLINAR;MIŠINKA 6;116;18;18;18;0;13;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;029;KUTINSKA SLATINA;DOM KUTINSKA SLATINA;KUTINSKA SLATINA;505;144;144;140;4;130;10
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;030;KATOLIČKE ČAIRE;DOM KATOLIČKE ČAIRE;KATOLIČKE ČAIRE;197;42;42;42;0;41;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;031;KLETIŠTE;DRUŠTVENI DOM;GORNJE KLETIŠTE;106;29;29;28;1;23;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;032;ŠARTOVAC;DOM ŠARTOVAC;ŠARTOVAC;321;125;125;119;6;107;12
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;033;STUPOVAČA;ŠKOLA STUPOVAČA;STUPOVAČA;374;61;61;60;1;47;13
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;034;BRINJANI;DOM BRINJANI;BRINJANI;185;65;65;63;2;37;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;035;KRAJIŠKA KUTINICA;DOM KRAJIŠKA KUTINICA;KRAJIŠKA KUTINICA;58;12;12;12;0;9;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;036;KUTINICA;DOM KUTINICA;KUTINICA;53;9;9;9;0;8;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;037;ČAIRE;OBJEKAT OPG MALBAŠIĆ;ČAIRE 12;25;8;8;8;0;5;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;038;SELIŠTE;DOM SELIŠTE;SELIŠTE;241;56;56;55;1;48;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;KUTINA;039;MIKLEUŠKA;DOM MIKLEUŠKA;MIKLEUŠKA;103;11;11;11;0;6;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;001;NOVSKA;OSNOVNA ŠKOLA NOVSKA;TRG DR. FRANJE TUĐMANA 1;1049;203;203;200;3;162;38
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;002;NOVSKA;DJEČJI VRTIĆ STRIBOR;POSAVSKA 5;1235;218;218;213;5;179;34
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;003;NOVSKA;GRADSKA GALERIJA PUČKOG OTVORENOG UČILIŠTA;TRG DR. FRANJE TUĐMANA BR. 3;718;116;116;112;4;94;18
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;004;NOVSKA;DJEČJI VRTIĆ ''RADOST'';ULICA I. BRLIĆ MAŽURANIĆ 1;1204;230;230;222;8;183;39
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;005;NOVSKA;PODUZETNIČKI INKUBATOR PISMO;TRG L. ILIĆA ORIOVČANINA 8;537;106;106;100;6;82;18
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;006;NOVSKA;ZGRADA RAZVOJNE AGENCIJE NOVSKA NORA;POTOČNA ULICA 25;1030;170;170;167;3;129;38
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;007;BROČICE;HRVATSKI DOM;BROČICE;735;161;161;157;4;136;21
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;008;BRESTAČA;HRVATSKI DOM;BRESTAČA;731;87;87;85;2;66;19
