Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KRISTINA IKIĆ BANIČEK;ŽELJKA JOSIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;050;ŽABNO;PROSTORIJE OSNOVNE ŠKOLE BRAĆA RIBAR SISAK;PODRUČNA ŠKOLA ŽABNO;396;203;203;194;9;66;128
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;051;GREDA;"PROSTORIJE O.Š. ""SELA"", PODRUČNI ODJEL GREDA";GREDA;727;338;338;333;5;176;157
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;052;JAZVENIK;"DRUŠTVENI DOM ""ČEŠKA BESEDA""";JAZVENIK 7B;111;80;80;77;3;23;54
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;053;SELA;OSNOVNA ŠKOLA SELA;SELA;798;371;371;361;10;112;249
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;054;STARA DRENČINA;NOVI VATROGASNI DOM DVD-A STARA DRENČINA;STARA DRENČINA 59A (UMJESTO U DRUŠTVENOM DOMU STARA DRENČINA, STARA DRENČINA BB);177;107;107;106;1;42;64
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;055;STARO PRAČNO;DRUŠTVENI DOM STARO PRAČNO;STARO PRAČNO 10;737;360;360;343;17;148;195
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;056;STUPNO;DRUŠTVENI DOM MO STUPNO;STUPNO 58;403;206;206;200;6;71;129
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;057;VUROT;DRUŠTVENI DOM MO VUROT;VUROT 33A;102;35;35;33;2;18;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;058;BUDAŠEVO;OSNOVNA ŠKOLA BUDAŠEVO - TOPOLOVAC - GUŠĆE;TRG MARIJANA ŠOKČEVIĆA 1 (UMJESTO U DRUŠTVENOM DOMU MO BUDAŠEVO, TRG MARIJANA ŠOKČEVIĆA 3);1320;585;585;563;22;215;348
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;059;NOVO SELO PALANJEČKO;DRUŠTVENI DOM MO NOVO SELO PALANJEČKO;NOVO SELO PALANJEČKO BB;463;195;195;190;5;80;110
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;060;TOPOLOVAC;PROSTORIJE NOGOMETNOG KLUBA TŠK, TOPOLOVAC;TRG HRVATSKIH DRAGOVOLJACA 1A (UMJESTO U DRUŠTVENOM DOMU MO TOPOLOVAC, TRG HRVATSKIH DRAGOVOLJACA 1);739;347;347;335;12;118;217
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;061;LUKAVEC POSAVSKI;DRUŠTVENI DOM MO LUKAVEC POSAVSKI;LUKAVEC POSAVSKI 1C;100;53;53;53;0;23;30
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;062;GUŠĆE;MO GUŠĆE U ZGRADI DVD GUŠĆE;GUŠĆE 105;292;129;129;128;1;68;60
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;063;ČIGOĆ;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA ČIGOĆ;ČIGOĆ 16;62;27;27;27;0;10;17
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;064;KRATEČKO;DRUŠTVENI DOM MO KRATEČKO;KRATEČKO 96;149;79;79;77;2;32;45
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;065;MUŽILOVČICA;VATROGASNI DOM MUŽILOVČICA;MUŽILOVČICA;67;38;38;38;0;20;18
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;066;SUVOJ;DRUŠTVENI DOM (PROSTORIJE PRIJAŠNJEG MO SUVOJ);SUVOJ;27;20;20;18;2;14;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;067;LONJA;PROSTORIJE DVD-A LONJA;LONJA BB;84;30;30;30;0;15;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;068;SVINJIČKO;PROSTORIJE MO VELIKO SVINJIČKO U PODRUČNOJ ŠKOLI;VELIKO SVINJIČKO 105;190;92;92;90;2;43;47
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;069;STARO SELO;KUĆA MILOŠA ĐUKIĆA;STARO SELO 61;108;42;42;41;1;39;2
