Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, STRANKA UMIROVLJENIKA - SU;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, NEZAVISNA LISTA ANTE ĐAPIĆA - NL ANTE ĐAPIĆA, AKTIVNI NEZAVISNI UMIROVLJENICI - ANU, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA STRANKA PRAVA - HSP, DEMOKRATSKI HSS - DHSS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA - HSS, NARODNA STRANKA - REFORMISTI - REFORMISTI;MOST, HRVATSKI SUVERENISTI;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SNAGA SLAVONIJE I BARANJE - Snaga SiB;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;001;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 1;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;515;212;212;199;13;34;75;24;20;0;5;41
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;002;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 2;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;509;248;248;231;17;40;94;20;34;1;13;29
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;003;ĐAKOVO;EKONOMSKA ŠKOLA BRAĆA RADIĆ, UČIONICA 3;VIJENAC KARDINALA ALOJZIJA STEPINCA 11;587;227;227;215;12;39;85;31;19;0;14;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;004;ĐAKOVO;MUZEJ ĐAKOVŠTINE;ANTE STARČEVIĆA 34;732;344;344;327;17;55;113;40;54;1;16;48
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;005;ĐAKOVO;POSLOVNI PROSTOR;ANTE STARČEVIĆA 157;529;216;216;194;22;31;93;18;22;0;7;23
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;006;ĐAKOVO;CENTAR ZA KULTURU;KRALJA TOMISLAVA 13;635;301;301;287;14;38;170;20;31;0;8;20
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;007;ĐAKOVO;OSNOVNA ŠKOLA IVANA GORANA KOVAČIĆA;KRALJA TOMISLAVA 25;481;215;215;197;18;26;77;24;24;1;12;33
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;008;ĐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA, UČIONICA 1;TRG NIKOLE ŠUBIĆA ZRINSKOG 4;687;292;292;274;18;39;141;19;38;0;10;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;009;ĐAKOVO;OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA, UČIONICA 2;TRG NIKOLE ŠUBIĆA ZRINSKOG 4;916;425;425;407;18;54;208;44;54;1;15;31
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;010;ĐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 1;V.NAZORA 68;757;266;266;248;18;41;131;20;19;1;12;24
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;011;ĐAKOVO;UNIVERZAL D.O.O., PROSTORIJA 2;V.NAZORA 68;624;228;228;214;14;40;102;20;20;1;8;23
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;012;ĐAKOVO;HRVATSKA AGENCIJA ZA POLJOPRIVREDU I HRANU, URED U ĐAKOVU;V.NAZORA 1;449;180;180;169;11;25;72;18;25;1;5;23
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;013;ĐAKOVO;POSLOVNI PROSTOR;I.G.KOVAČIĆA 5;899;346;346;330;16;54;148;28;51;1;13;35
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;014;ĐAKOVO;POSLOVNI PROSTOR;KRALJA TOMISLAVA 67;697;273;273;258;15;52;92;33;42;1;14;24
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;015;ĐAKOVAČKI PISAK;OSNOVNA ŠKOLA;ĐAKOVAČKI PISAK;253;78;78;71;7;21;34;7;3;0;3;3
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;016;ĐAKOVO;STARI DVD, PROSTORIJA I.;MATIJE GUPCA 30;488;209;208;191;17;33;81;20;29;0;9;19
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;017;ĐAKOVO;STARI DVD, PROSTORIJA II.;MATIJE GUPCA 30;849;378;378;361;17;52;171;34;29;1;19;55
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;018;ĐAKOVO;PROTUPOŽARNI CENTAR;SPLITSKA BB;591;236;236;224;12;46;75;25;33;0;8;37
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;019;ĐAKOVO;CENTAR ZA SOCIJALNU SKRB;P.PRERADOVIĆA 2;517;187;187;175;12;26;67;23;21;2;9;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;020;ĐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 1;P.PRERADOVIĆA 15;833;310;310;291;19;76;106;26;50;2;7;24
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;021;ĐAKOVO;HRVATSKI ZAVOD ZA ZDRAVSTVENO OSIGURANJE, PROSTORIJA 2;P.PRERADOVIĆA 15;611;265;265;258;7;49;109;33;27;1;12;27
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;022;ĐAKOVO;UPRAVNA ZGRADA DOMA ZDRAVLJA;P.PRERADOVIĆA 2;833;345;345;333;12;63;145;32;42;0;17;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;023;ĐAKOVO;ŠUMARIJA;J.PALMOTIĆA 18;992;380;380;364;16;69;133;40;46;0;26;50
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;024;ĐAKOVO;"DJEČJI VRTIĆ ""VILA"", PROSTORIJA 1";ĐAKOVO;746;317;317;297;20;46;140;37;37;1;11;25
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;025;ĐAKOVO;"DJEČJI VRTIĆ ""VILA"", PROSTORIJA 2";ĐAKOVO;788;403;403;383;20;56;194;35;51;0;13;34
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;026;SELCI ĐAKOVAČKI;OSNOVNA ŠKOLA ĐAKOVAČKI SELCI, UČIONICA 1;SELCI ĐAKOVAČKI;839;306;306;300;6;59;165;23;28;1;15;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;027;SELCI ĐAKOVAČKI;OSNOVNA ŠKOLA ĐAKOVAČKI SELCI, UČIONICA 2;SELCI ĐAKOVAČKI;662;244;244;236;8;48;116;28;17;1;15;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;028;KUŠEVAC;PODRUČNA OSNOVNA ŠKOLA JOSIPA ANTUNA ĆOLNIĆA;KUŠEVAC;892;415;414;402;12;67;261;24;20;1;18;11
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;029;IVANOVCI ĐAKOVAČKI;DOM DVD-A;IVANOVCI ĐAKOVAČKI;481;202;202;185;17;39;104;11;11;1;10;9
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;030;ŠIROKO POLJE;MJESNI DOM;ŠIROKO POLJE;838;422;421;398;23;82;238;31;8;0;22;17
14;OSJEČKO-BARANJSKA ŽUPANIJA;grad;ĐAKOVO;031;BUDROVCI;OSNOVNA ŠKOLA BUDROVCI, UČIONICA 1;BUDROVCI;610;229;229;219;10;59;91;24;16;0;16;13
