Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM, UNIJA KVARNERA - UNIJA, ALTERNATIVA 101 - ALTERNATIVA;BURA;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;LISTA ZA RIJEKU - RI, KVARNERSKA INICIJATIVA - REGIONALNA PLATFORMA - KVARNERSKA, STRANKA UMIROVLJENIKA - SU;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;RADNIÈKA FRONTA - RF;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVA RINÈIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, PRIMORSKO GORANSKI SAVEZ - PGS, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SELJAÈKA STRANKA - HSS
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;003;BIRAÈKO MJESTO BR. 3;ZGRADA RADNIÈKOG DOMA DELNICE;DELNICE, ŠKOLSKA 24;1127;532;532;522;10;27;9;35;146;6;17;18;13;27;224
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;004;BIRAÈKO MJESTO BR. 4;ZGRADA SUDA DELNICE;DELNICE, TINA UJEVIÆA 1;1231;544;544;520;24;32;9;34;108;19;14;29;16;34;225
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;005;BIRAÈKO MJESTO BR. 5;ZGRADA ŠUMARIJE DELNICE;DELNICE, PETRA KREŠIMIRA IV  53;1288;621;621;596;25;37;8;40;111;10;20;21;8;61;280
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;006;BIRAÈKO MJESTO BR. 6;"ZGRADA OSNOVNE ŠKOLE ""F.K.FRANKOPANA""  BROD NA KUPI";BROD NA KUPI, KRALJA TOMISLAVA 17 A;369;173;173;163;10;7;5;10;43;4;5;3;4;9;73
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;007;BIRAÈKO MJESTO BR. 7;ZGRADA OSNOVNE ŠKOLE TURKE;TURKE, TURKE 19;133;59;59;56;3;3;1;1;14;0;2;1;3;1;30
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;001;KASTAV;DOM BRAÆE MATEŠIÆ;ŠPOROVA JAMA 2;878;478;478;462;16;144;3;6;57;13;20;21;3;23;172
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;002;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRNÈIÆI;BRNÈIÆI 66;1133;443;442;424;18;68;6;15;81;8;16;29;12;23;166
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;003;KASTAV;PROSTORIJA U PRIZEMLJU ZGRADE (MO REŠETARI);ŠTIVAR 13;2260;751;751;740;11;119;14;11;161;27;30;52;23;46;257
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;004;KASTAV;"PROSTORIJA GLAZBENOG DOMA ""DR. VOJKO VLAH""";SPINÈIÆI 47;1706;731;731;720;11;130;5;27;132;20;34;33;19;48;272
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;005;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRAÆE MILIH (PRIZEMLJE);RUBEŠI 65;1605;629;629;611;18;109;4;17;113;20;29;41;10;29;239
