Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;PETAR MAMULA;DUŠAN STIPANOVIĆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;002;BIRAČKO MJESTO BR. 2;PROSTOR RECEPCIJE U BIVŠEM TURISTIČKOM NASELJU POVILE;POVILE, M. BUTKOVIĆA BB;4;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;003;BIRAČKO MJESTO BR. 3;PROSTORIJE BIVŠE OSNOVNE ŠKOLE DONJI ZAGON;DONJI ZAGON B.B.;3;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;004;BIRAČKO MJESTO BR. 4;PROSTORIJE DOMA KULTURE LEDENICE;LEDENICE;2;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;005;BIRAČKO MJESTO BR. 5;"PROSTORIJE ""DOMA KULTURE"" BATER";BATER BB;1;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;006;BIRAČKO MJESTO BR. 6;PROSTORIJE VATROGASNOG DOMA NOVI VINODOLSKI;NOVI VINODOLSKI, VATROGASNA 2;20;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;007;BIRAČKO MJESTO BR. 7;"PROSTORIJE ""MALE SALE DOMA KULTURE""";NOVI VINODOLSKI, KORZO HRVATSKIH BRANITELJA 1;27;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;008;BIRAČKO MJESTO BR. 8;"PROSTORIJE OSNOVNE ŠKOLE ""IVAN MAŽURANIĆ""";NOVI VINODOLSKI, LOKVICA 2;25;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;009;BIRAČKO MJESTO BR. 9;PROSTORIJE NARODNE ČITAONICE I KNJIŽNICE NOVI VINODOLSKI;NOVI VINODOLSKI, TRG VINODOLSKOG ZAKONA 1;37;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;010;BIRAČKO MJESTO BR. 10;"PROSTOR ""ADRIA TURIST""";NOVI VINODOLSKI, KRALJA TOMISLAVA 6;14;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;011;BIRAČKO MJESTO BR. 11;"PROSTORIJE UPRAVNE ZGRADE ""ŠUMARIJE""";NOVI VINODOLSKI, KORZO HRVATSKIH BRANITELJA 39;24;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;001;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA - TOŠINA);GIUSEPPE VERDI 23;20;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;002;OPATIJA;DOM LIBURNIJA (PROSTORIJE MOHO CENTRA);ANDRIJE ŠTANGERA 48;20;2;2;2;0;2;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;003;OPATIJA;(PROSTORIJE MJESNOG ODBORA  OPATIJA - KOSOVO);KOSIĆEVO 7;26;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;004;POBRI;(PROSTORIJE MJESNOG ODBORA POBRI);POBARSKA CESTA 3;35;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;005;IKA;(DRUŠTVENI DOM IKA, PROSTORIJE MJESNOG ODBORA IKA);PRIMORSKA ULICA BB;32;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;006;DOBREĆ;(ŠKOLA, PROSTORIJE MJESNOG ODBORA DOBREĆ);DOBREĆ BR. 20/C;6;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;007;VEPRINAC;(ETNO ZBIRKA VEPRINAC);VEPRINAC - STARI GRAD 5;24;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;008;POLJANE;(DRUŠTVENI DOM, PROSTORIJE MJESNOG ODBORA POLJANE);POLJANE 67;6;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;009;IČIĆI;(OSNOVNA ŠKOLA, PROSTORIJE MJESNOG ODBORA IČIĆI);LIBURNIJSKA CESTA 30;13;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;010;OPATIJA;(PROSTORIJE DJEČJEG VRTIĆA PUNTA KOLOVA);ANTONA MIHIĆA 5/A;7;1;1;1;0;0;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;011;OPATIJA;(VILLA ANTONIO MEĐUNARODNI CENTAR ZA OBRAZOVANJE NOVINARA);NAZOROVA  BR. 2;20;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;012;OPATIJA;(PROSTORIJE MJESNOG ODBORA);J. RAKOVCA 15;19;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;013;OPATIJA;(PROSTORIJE MJESNOG ODBORA OPATIJA-CENTAR II);VRUTKI 6;22;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;OPATIJA;014;OPATIJA;(GRADSKA VIJEĆNICA);M. TITA 3;13;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;001;RAB;PROSTORIJA GRADSKE VIJEĆNICE GRADA RABA;RAB MUNICIPIUM ARBA 2;5;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;002;SUPETARSKA DRAGA;PODRUČNA ŠKOLA SUPETARSKA  DRAGA;SUPETARSKA DRAGA;9;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;003;MUNDANIJE;PODRUČNA ŠKOLA MUNDANIJE;MUNDANIJE;7;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;004;KAMPOR;PODRUČNA ŠKOLA KAMPOR;KAMPOR;18;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;005;PALIT;"O.Š.""IVANA RABLJANINA"" - UČ. IV. RAZ";PALIT;24;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;006;BANJOL 2;PODRUČNA ŠKOLA BANJOL;BANJOL;12;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;007;BANJOL 1;"OŠ ""IVANA  RABLJANINA "" - UČION. I.RAZ.";BANJOL;14;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RAB;008;BARBAT;"PODRUČNA ŠKOLA  ""BARBAT""";BARBAT;11;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;001;COSTABELLA;PROSTORIJE MJESNOG ODBORA;ISTARSKA 50;43;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;002;KANTRIDA;"OŠ ""KANTRIDA""";IZVIĐAČKA 9;56;4;4;4;0;3;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;003;KANTRIDA;"DOM  ""MIRKO ČURBEG""";LOVRANSKA 10;65;2;2;2;0;2;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;004;KANTRIDA;"OŠ ""KANTRIDA""";IZVIĐAČKA 9;59;5;5;5;0;5;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;005;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;74;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;006;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;107;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;007;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;76;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;008;ZAPADNI ZAMET;"OŠ ""ZAMET""";BOŽE VIDASA 12;34;1;1;1;0;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;009;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIĆ 2;99;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;010;GORNJI ZAMET;"KUD ""ZAMETSKI KOREN""";MILICE JADRANIĆ 2;149;3;3;2;1;2;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;RIJEKA;011;GORNJI ZAMET;PROSTORIJE MJESNOG ODBORA GORNJI ZAMET;MILICE JADRANIĆ 2A;64;2;2;2;0;1;1
