Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;IGOR ANDROVIÆ;DANIEL SPAJIÆ;MATE VUKUŠIÆ
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;007;PODGORJE;DOM MJESNOG ODBORA PODGORJE;VIROVITIÈKA ULICA 3;697;331;331;312;19;191;34;87
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;008;REZOVAC;PODRUÈNA ŠKOLA REZOVAC, UÈIONICA BR. 1;ULICA NOVI REZOVAC 70;641;227;227;216;11;144;33;39
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;009;REZOVAC;PODRUÈNA ŠKOLA REZOVAC, UÈIONICA BR. 2;ULICA NOVI REZOVAC 70;470;139;139;131;8;80;30;21
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;010;REZOVAÈKE KRÈEVINE;PODRUÈNA ŠKOLA REZOVAÈKE KRÈEVINE;ULICA SVETOG MIHOVILA 1;269;126;126;120;6;94;9;17
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;011;SVETI ÐURAÐ;DOM MJESNOG ODBORA SVETI ÐURAÐ;MLINSKA ULICA 1;497;258;258;245;13;179;36;30
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;012;TABORIŠTE;PODRUÈNA ŠKOLA TABORIŠTE, UÈIONICA 1;PODRAVSKA ULICA BB;808;340;340;327;13;172;69;86
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;013;TABORIŠTE;PODRUÈNA ŠKOLA TABORIŠTE, UÈIONICA 2;PODRAVSKA ULICA BB;671;314;314;304;10;190;65;49
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;014;VIROVITICA;ZAVOD ZA ZAPOŠLJAVANJE, PODRUÈNA SLUŽBA VIROVITICA;ULICA ANTUNA MIHANOVIÆA 40;740;395;395;381;14;220;59;102
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;015;VIROVITICA;GLAZBENA ŠKOLA JAN VLAŠIMSKY VIROVITICA;ULICA ANTUNA MIHANOVIÆA 21;635;343;343;337;6;223;40;74
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;016;VIROVITICA;OSNOVNA ŠKOLA IVANE BRLIÆ MAŽURANIÆ;ULICA TINA UJEVIÆA 18;507;280;279;268;11;146;45;77
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;017;VIROVITICA;HOK-OSIGURANJE D.D.;ULICA STJEPANA RADIÆA 66;470;220;220;206;14;112;26;68
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;018;VIROVITICA;BIVŠI VATROGASNI DOM;TRG KRALJA ZVONIMIRA 2;620;317;317;307;10;175;46;86
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;019;VIROVITICA;DOM UMIROVLJENIKA;ULICA MATIJE GUPCA 12;460;220;220;210;10;97;59;54
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;020;VIROVITICA;VISOKA ŠKOLA VIROVITICA (BIVŠA ''VOJARNA'');ULICA MATIJE GUPCA 78;556;234;234;228;6;140;34;54
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;021;VIROVITICA;ELEKTRA VIROVITICA;ULICA ANTUNA MIHANOVIÆA 42;635;317;317;307;10;189;53;65
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;022;VIROVITICA;AUTOŠKOLA ARTIS;ULICA ÐURE BASARIÈEKA 20 (PROSTOR PREDAVAONICE);886;463;463;454;9;211;89;154
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;023;VIROVITICA;OSNOVNA ŠKOLA VLADIMIR NAZOR;ULICA TOMAŠA MASARYKA 21;707;359;359;347;12;196;59;92
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;024;VIROVITICA;DJEÈJI VRTIÆ CVRÈAK (JASLICE);PEJAÈEVIÆEVA ULICA 1;884;449;449;428;21;252;71;105
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;025;VIROVITICA;KAZALIŠTE VIROVITICA;TRG LJUDEVITA PATAÈIÆA 2;609;286;286;279;7;161;48;70
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;026;VIROVITICA;VETERINARSKA STANICA VIROVITICA D.O.O.;ULICA JOSIPA JURJA STROSSMAYERA 38;804;352;352;341;11;192;55;94
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;027;VIROVITICA;CENTAR ZA SOCIJALNU SKRB;ULICA VLADIMIRA NAZORA 1;388;206;206;203;3;133;20;50
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;028;VIROVITICA;''OPECO'' VIROVITICA;ULICA JOSIPA JURJA STROSSMAYERA 106;646;276;276;267;9;154;48;65
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;029;VIROVITICA;TEHNIÈKA ŠKOLA;ULICA ZBORA NARODNE GARDE 29;904;365;365;343;22;193;46;104
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;030;VIROVITICA;FLORA VTC D.O.O.;VUKOVARSKA CESTA 5;634;266;266;258;8;160;39;59
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;CRNAC;001;CRNAC;VIJEÆNICA OPÆINE CRNAC;ZRINSKA 2;523;320;320;297;23;228;43;26
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;CRNAC;002;VELIKI RASTOVAC;OSNOVNA ŠKOLA;VELIKI RASTOVAC 39;473;303;303;284;19;203;51;30
10;VIROVITIÈKO-PODRAVSKA ŽUPANIJA;opæina;CRNAC;003;BREŠTANOVCI;MJESNI DOM;KOLODVORSKA BB;96;58;58;52;6;34;12;6
