Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP, MOST, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, ZELENA LISTA;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA SELJAČKA STRANKA - HSS, SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA PRAVNE DRŽAVE - HSPD
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;001;ČEMERNICA;DOM MJESNOG ODBORA ČEMERNICA;ULICA KARDINALA FRANJE KUHARIĆA 1;587;271;271;258;13;37;144;6;4;67
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;002;GOLO BRDO;DOM MJESNOG ODBORA GOLO BRDO;GOLO BRDO 78;296;152;152;144;8;30;81;3;7;23
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;003;JASENAŠ;DOM MJESNOG ODBORA JASENAŠ;ULICA JASENAŠ 66;74;22;22;22;0;8;2;5;0;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;004;KORIJA;PODRUČNA ŠKOLA KORIJA;ULICA MARKA OREŠKOVIĆA BB;683;261;261;247;14;39;136;6;3;63
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;005;MILANOVAC;PODRUČNA ŠKOLA MILANOVAC;ULICA 30.SVIBNJA 31;773;319;319;310;9;62;147;7;8;86
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;006;MILANOVAC;DOM MJESNOG ODBORA MILANOVAC;ULICA 30. SVIBNJA BB;701;320;320;308;12;68;166;4;8;62
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;007;PODGORJE;DOM MJESNOG ODBORA PODGORJE;VIROVITIČKA ULICA 3;697;331;331;314;17;41;172;2;18;81
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;008;REZOVAC;PODRUČNA ŠKOLA REZOVAC, UČIONICA BR. 1;ULICA NOVI REZOVAC 70;641;227;227;208;19;40;125;11;3;29
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;009;REZOVAC;PODRUČNA ŠKOLA REZOVAC, UČIONICA BR. 2;ULICA NOVI REZOVAC 70;470;139;139;130;9;38;71;4;1;16
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;010;REZOVAČKE KRČEVINE;PODRUČNA ŠKOLA REZOVAČKE KRČEVINE;ULICA SVETOG MIHOVILA 1;269;126;126;122;4;9;95;1;2;15
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;011;SVETI ĐURAĐ;DOM MJESNOG ODBORA SVETI ĐURAĐ;MLINSKA ULICA 1;497;258;258;245;13;33;171;5;6;30
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;012;TABORIŠTE;PODRUČNA ŠKOLA TABORIŠTE, UČIONICA 1;PODRAVSKA ULICA BB;808;340;340;325;15;73;154;5;10;83
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;013;TABORIŠTE;PODRUČNA ŠKOLA TABORIŠTE, UČIONICA 2;PODRAVSKA ULICA BB;671;314;314;302;12;82;166;7;2;45
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;014;VIROVITICA;ZAVOD ZA ZAPOŠLJAVANJE, PODRUČNA SLUŽBA VIROVITICA;ULICA ANTUNA MIHANOVIĆA 40;740;395;395;379;16;72;188;3;9;107
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;015;VIROVITICA;GLAZBENA ŠKOLA JAN VLAŠIMSKY VIROVITICA;ULICA ANTUNA MIHANOVIĆA 21;635;343;343;333;10;50;199;6;5;73
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;016;VIROVITICA;OSNOVNA ŠKOLA IVANE BRLIĆ MAŽURANIĆ;ULICA TINA UJEVIĆA 18;507;279;279;272;7;54;126;5;3;84
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;017;VIROVITICA;HOK-OSIGURANJE D.D.;ULICA STJEPANA RADIĆA 66;470;220;220;208;12;31;97;4;8;68
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;018;VIROVITICA;BIVŠI VATROGASNI DOM;TRG KRALJA ZVONIMIRA 2;620;317;317;305;12;44;162;3;8;88
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;019;VIROVITICA;DOM UMIROVLJENIKA;ULICA MATIJE GUPCA 12;460;220;220;213;7;58;83;4;6;62
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;020;VIROVITICA;VISOKA ŠKOLA VIROVITICA (BIVŠA ''VOJARNA'');ULICA MATIJE GUPCA 78;556;234;234;226;8;33;136;4;5;48
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;021;VIROVITICA;ELEKTRA VIROVITICA;ULICA ANTUNA MIHANOVIĆA 42;635;317;317;307;10;66;169;5;4;63
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;022;VIROVITICA;AUTOŠKOLA ARTIS;ULICA ĐURE BASARIČEKA 20 (PROSTOR PREDAVAONICE);886;463;463;455;8;96;186;13;8;152
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;023;VIROVITICA;OSNOVNA ŠKOLA VLADIMIR NAZOR;ULICA TOMAŠA MASARYKA 21;707;359;359;348;11;61;174;2;13;98
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;024;VIROVITICA;DJEČJI VRTIĆ CVRČAK (JASLICE);PEJAČEVIĆEVA ULICA 1;884;449;449;430;19;81;233;7;7;102
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;025;VIROVITICA;KAZALIŠTE VIROVITICA;TRG LJUDEVITA PATAČIĆA 2;609;286;286;277;9;52;141;3;7;74
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;026;VIROVITICA;VETERINARSKA STANICA VIROVITICA D.O.O.;ULICA JOSIPA JURJA STROSSMAYERA 38;804;352;352;339;13;59;170;8;13;89
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;027;VIROVITICA;CENTAR ZA SOCIJALNU SKRB;ULICA VLADIMIRA NAZORA 1;388;206;206;200;6;21;119;4;2;54
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;028;VIROVITICA;''OPECO'' VIROVITICA;ULICA JOSIPA JURJA STROSSMAYERA 106;646;276;276;264;12;63;129;5;5;62
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;029;VIROVITICA;TEHNIČKA ŠKOLA;ULICA ZBORA NARODNE GARDE 29;904;365;365;344;21;51;177;7;8;101
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;grad;VIROVITICA;030;VIROVITICA;FLORA VTC D.O.O.;VUKOVARSKA CESTA 5;634;266;266;260;6;65;149;1;3;42
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;CRNAC;001;CRNAC;VIJEĆNICA OPĆINE CRNAC;ZRINSKA 2;523;320;320;300;20;40;188;49;11;12
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;CRNAC;002;VELIKI RASTOVAC;OSNOVNA ŠKOLA;VELIKI RASTOVAC 39;473;303;303;281;22;81;159;16;5;20
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;CRNAC;003;BREŠTANOVCI;MJESNI DOM;KOLODVORSKA BB;96;53;53;47;6;11;25;6;1;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;001;ČAČINCI;OSNOVNA ŠKOLA A.G.MATOŠA;ČAČINCI, TRG KARDINALA FRANJE KUHARIĆA 3;470;213;213;208;5;30;135;3;3;37
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;002;ČAČINCI;VIJEĆNICA OPĆINE ČAČINCI;TRG KARDINALA FRANJE KUHARIĆA 2;474;245;245;240;5;31;150;4;5;50
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;003;ČAČINCI;ZGRADA ŠUMARIJE;ČAČINCI, FRANJE JUSUPA 2;750;353;353;333;20;47;211;5;5;65
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;004;BUKVIK;DRUŠTVENI DOM BUKVIK;OMERA ŠILOVIĆA BB;136;67;67;66;1;6;53;1;4;2
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;005;BREZOVLJANI VOJLOVIČKI;DRUŠTVENI DOM;BREZOVLJANI VOJLOVIČKI BB;55;28;28;28;0;0;21;6;0;1
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;006;PAUŠINCI;DRUŠTVENI DOM;PAUŠINCI, JOSIPA JURENCA BB;137;91;91;84;7;8;71;0;1;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;007;HUMLJANI;PODRUČNA ŠKOLA;HUMLJANI BB;121;62;62;62;0;10;44;1;0;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAČINCI;008;SLATINSKI DRENOVAC;CENTAR ZA POSJETITELJE JU PARK PRIRODE PAPUK;SLATINSKI DRENOVAC, TRG BANA JELAČIĆA 2;98;19;19;19;0;1;11;2;2;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;001;ČAĐAVICA;VIJEĆNICA OPĆINSKOG VIJEĆA;KOLODVORSKA 2;540;328;328;315;13;67;195;17;5;31
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;002;ČAĐAVIČKI LUG;MJESNI DOM;ČAĐAVIČKI LUG;265;146;146;140;6;20;95;11;1;13
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;003;ZVONIMIROVAC;VATROGASNI DOM;ZVONIMIROVAC;199;130;130;125;5;17;96;1;2;9
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;004;DONJE BAZIJE;MJESNI DOM;DONJE BAZIJE;105;68;68;58;10;7;33;8;3;7
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;005;ŠAŠEVO;MJESNI DOM;ŠAŠEVO;84;61;61;59;2;22;30;3;0;4
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;006;STARIN;VATROGASNI DOM;STARIN;65;39;39;39;0;6;25;5;0;3
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;007;VRANEŠEVCI;MJESNI DOM;VRANEŠEVCI;101;65;65;64;1;7;43;5;1;8
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;ČAĐAVICA;008;NOSKOVCI;MJESNI DOM;NOSKOVCI;181;99;99;97;2;10;62;10;4;11
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;001;GRADINA;VATROGASNI DOM GRADINA (SALA);TRG HRVATSKIH BRANITELJA 1;494;279;279;268;11;131;106;13;8;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;002;GRADINA;VATROGASNI DOM GRADINA (PRIJAŠNJE PROSTORIJE OPĆINE);TRG HRVATSKIH BRANITELJA 1;231;148;148;146;2;56;76;4;0;10
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;003;BAČEVAC;PODRUČNA ŠKOLA BAČEVAC;BAČEVAC 67;313;167;167;163;4;57;92;8;0;6
10;VIROVITIČKO-PODRAVSKA ŽUPANIJA;općina;GRADINA;004;BREZOVICA;DRUŠTVENI DOM BREZOVICA;BREZOVICA, STJEPANA RADIĆA 2;433;243;243;232;11;68;134;9;1;20
